symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71476.0,,2026-03-15T20:23:40.323671+00:00,hyperliquid,BTC,0.00038,27.160880000000002,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:24:40.494271+00:00,hyperliquid,BTC,0.00038,27.15746,0xce397f90242c35486cf7f161e7a38e3321feb74f,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71467.0,,2026-03-15T20:24:42.119223+00:00,hyperliquid,BTC,0.00038,27.15746,0xce397f90242c35486cf7f161e7a38e3321feb74f,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71450.0,,2026-03-15T20:25:14.345363+00:00,hyperliquid,BTC,0.00038,27.151,0xc2c4227bf9830d372e5152591cb6c767e3243f18,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71450.0,,2026-03-15T20:25:14.565436+00:00,hyperliquid,BTC,0.00038,27.151,0xc2c4227bf9830d372e5152591cb6c767e3243f18,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71433.0,,2026-03-15T20:29:40.349299+00:00,hyperliquid,BTC,0.00038,27.144540000000003,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71433.0,,2026-03-15T20:29:42.058099+00:00,hyperliquid,BTC,0.00038,27.144540000000003,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71419.0,,2026-03-15T20:26:10.304087+00:00,hyperliquid,BTC,0.00038,27.13922,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71419.0,,2026-03-15T20:26:10.312527+00:00,hyperliquid,BTC,0.00038,27.13922,0xb3a38662575bdf1541013ce987934dba919851ea,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71401.0,,2026-03-15T20:27:11.741229+00:00,hyperliquid,BTC,0.00038,27.13238,0x0b2b250dcfd59adf0ee604b2d09518518c2a05b1,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71401.0,,2026-03-15T20:27:12.810472+00:00,hyperliquid,BTC,0.00038,27.13238,0x0b2b250dcfd59adf0ee604b2d09518518c2a05b1,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71387.0,,2026-03-15T20:28:10.294318+00:00,hyperliquid,BTC,0.00038,27.12706,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71387.0,,2026-03-15T20:28:10.555238+00:00,hyperliquid,BTC,0.00038,27.12706,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71390.0,,2026-03-15T20:27:44.408801+00:00,hyperliquid,BTC,0.00036,25.700400000000002,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71390.0,,2026-03-15T20:27:44.534625+00:00,hyperliquid,BTC,0.00036,25.700400000000002,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71410.0,,2026-03-15T20:29:14.375190+00:00,hyperliquid,BTC,0.00034,24.279400000000003,0xb3a38662575bdf1541013ce987934dba919851ea,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71410.0,,2026-03-15T20:29:14.479301+00:00,hyperliquid,BTC,0.00034,24.279400000000003,0xb3a38662575bdf1541013ce987934dba919851ea,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:24:14.247102+00:00,hyperliquid,BTC,0.00033,23.58411,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:24:14.271224+00:00,hyperliquid,BTC,0.00033,23.58411,0xadc9cf23f55c6221a05a8150e5768d7c3289562f,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71419.0,,2026-03-15T20:26:14.358853+00:00,hyperliquid,BTC,0.00033,23.56827,0xb3a38662575bdf1541013ce987934dba919851ea,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71419.0,,2026-03-15T20:26:14.434685+00:00,hyperliquid,BTC,0.00033,23.56827,0xb3a38662575bdf1541013ce987934dba919851ea,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71497.0,,2026-03-15T20:30:12.311108+00:00,hyperliquid,BTC,0.0003,21.449099999999998,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71497.0,,2026-03-15T20:30:12.353806+00:00,hyperliquid,BTC,0.0003,21.449099999999998,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71476.0,,2026-03-15T20:23:44.337602+00:00,hyperliquid,BTC,0.0003,21.4428,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71476.0,,2026-03-15T20:23:44.377037+00:00,hyperliquid,BTC,0.0003,21.4428,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71404.0,,2026-03-15T20:28:44.485763+00:00,hyperliquid,BTC,0.0003,21.4212,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71404.0,,2026-03-15T20:28:46.155189+00:00,hyperliquid,BTC,0.0003,21.4212,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:22:44.305623+00:00,hyperliquid,BTC,0.00029,20.72543,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:22:44.440149+00:00,hyperliquid,BTC,0.00029,20.72543,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71422.0,,2026-03-15T20:26:44.455162+00:00,hyperliquid,BTC,0.00028,19.99816,0xd58947a95d21fb0438461f610b1cc20a5826aee8,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71422.0,,2026-03-15T20:26:44.481707+00:00,hyperliquid,BTC,0.00028,19.99816,0xd58947a95d21fb0438461f610b1cc20a5826aee8,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71382.0,,2026-03-15T20:27:14.396611+00:00,hyperliquid,BTC,0.00028,19.98696,0x9e74a6a1df3c2545ec4e8e54a1502967c7ad15e1,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71382.0,,2026-03-15T20:27:14.442389+00:00,hyperliquid,BTC,0.00028,19.98696,0x9e74a6a1df3c2545ec4e8e54a1502967c7ad15e1,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:24:44.294802+00:00,hyperliquid,BTC,0.00027,19.29609,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71467.0,,2026-03-15T20:24:44.384318+00:00,hyperliquid,BTC,0.00027,19.29609,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x28f0233472b6a44e170e002a72845ca100be4a7e
,long,,71468.0,,2026-03-15T20:22:27.476871+00:00,hyperliquid,BTC,0.00025,17.867,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71468.0,,2026-03-15T20:22:29.571669+00:00,hyperliquid,BTC,0.00025,17.867,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71468.0,,2026-03-15T20:24:28.126801+00:00,hyperliquid,BTC,0.00025,17.867,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d
,long,,71468.0,,2026-03-15T20:24:28.141282+00:00,hyperliquid,BTC,0.00025,17.867,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d
,long,,71420.0,,2026-03-15T20:26:26.820755+00:00,hyperliquid,BTC,0.00025,17.855,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xceb457fb150e00d5f33cfa7b69852a76fdab24dc
,long,,71420.0,,2026-03-15T20:26:26.854662+00:00,hyperliquid,BTC,0.00025,17.855,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xceb457fb150e00d5f33cfa7b69852a76fdab24dc
,short,,71416.0,,2026-03-15T20:25:44.306009+00:00,hyperliquid,BTC,0.00025,17.854,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x28f0233472b6a44e170e002a72845ca100be4a7e
,short,,71416.0,,2026-03-15T20:25:44.340544+00:00,hyperliquid,BTC,0.00025,17.854,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x28f0233472b6a44e170e002a72845ca100be4a7e
,long,,71405.0,,2026-03-15T20:28:28.294102+00:00,hyperliquid,BTC,0.00025,17.85125,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71405.0,,2026-03-15T20:28:28.456065+00:00,hyperliquid,BTC,0.00025,17.85125,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71667.0,,2026-03-15T20:30:58.062262+00:00,hyperliquid,BTC,0.00024,17.20008,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x13558be785661958932ceac35ba20de187275a42
,long,,71667.0,,2026-03-15T20:30:58.609043+00:00,hyperliquid,BTC,0.00024,17.20008,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x13558be785661958932ceac35ba20de187275a42
,long,,71652.0,,2026-03-15T20:31:27.344685+00:00,hyperliquid,BTC,0.00024,17.19648,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,long,,71652.0,,2026-03-15T20:31:27.356531+00:00,hyperliquid,BTC,0.00024,17.19648,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,long,,71621.0,,2026-03-15T20:31:58.820948+00:00,hyperliquid,BTC,0.00024,17.189040000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
,long,,71621.0,,2026-03-15T20:31:59.469989+00:00,hyperliquid,BTC,0.00024,17.189040000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
,long,,71486.0,,2026-03-15T20:23:27.666711+00:00,hyperliquid,BTC,0.00024,17.15664,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xf9109ada2f73c62e9889b45453065f0d99260a2d
,long,,71486.0,,2026-03-15T20:23:29.759971+00:00,hyperliquid,BTC,0.00024,17.15664,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xf9109ada2f73c62e9889b45453065f0d99260a2d
,long,,71480.0,,2026-03-15T20:22:57.950545+00:00,hyperliquid,BTC,0.00024,17.1552,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b
,long,,71480.0,,2026-03-15T20:22:57.976336+00:00,hyperliquid,BTC,0.00024,17.1552,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b
,long,,71469.0,,2026-03-15T20:24:57.541775+00:00,hyperliquid,BTC,0.00024,17.15256,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xb3a38662575bdf1541013ce987934dba919851ea
