symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status,exchange
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00447,325.67,0xda29b1b3...,-4.27,,,,
BTC,LONG,291.3052,72826.3,0.004,1773650491185,binance,,,,,,LIMIT,73088.6,FILLED,
BTC,LONG,291.22,72803.8,0.004,1773650476943,bybit,,,,,,,,,
BTC,LONG,285.23,73136.0,0.0039,1773650481090,hyperliquid,,,,,,,,,hyperliquid
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00391,284.93,0xc6494809...,-3.56,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00364,265.2,0x654c0a2b...,-3.59,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00342,249.17,0xff0c4647...,-3.48,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00327,238.24,0xc2910c85...,-3.28,,,,
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00324,236.76,0x663ed961...,-2.84,,,,
BTC,LONG,236.76,73075.0,0.00324,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00312,227.36,0x1d6c051f...,-2.71,,,,
BTC,LONG,218.52480000000003,72841.6,0.003,1773650485065,binance,,,,,,LIMIT,73117.5,FILLED,
BTC,LONG,218.4555,72818.5,0.003,1773650554182,binance,,,,,,LIMIT,73103.9,FILLED,
BTC,LONG,218.26,72751.7,0.003,1773650490443,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00286,208.37,0xef8238f7...,-2.75,,,,
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00274,200.23,0x9cf1581d...,-2.39,,,,
BTC,LONG,200.23,73075.0,0.00274,1773650590115,hyperliquid,,,,,,,,,hyperliquid
