symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
BTC,SHORT,9522.23,73730.0,0.12915,1773632095813,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9516.43,73960.0,0.12867,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9317.7,73950.0,0.126,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9195.06,74153.7,0.124,1773632112452,bybit,,,,,,,,,
BTC,SHORT,9120.71,74152.1,0.123,1773632112452,bybit,,,,,,,,,
BTC,SHORT,9062.89,73760.0,0.12287,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9062.89,73760.0,0.12287,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9062.89,73760.0,0.12287,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8865.84,73882.0,0.12,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8773.49,74351.6,0.118,1773632294444,bybit,,,,,,,,,
BTC,SHORT,8579.29,73883.0,0.11612,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8579.18,73882.0,0.11612,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8579.18,73882.0,0.11612,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8573.82,73766.0,0.11623,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8331.05,73883.0,0.11276,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8331.05,73883.0,0.11276,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8246.4,74291.9,0.111,1773632274444,bybit,,,,,,,,,
BTC,SHORT,8205.31,73935.0,0.11098,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8161.51,74195.5,0.11,1773632112944,bybit,,,,,,,,,
BTC,SHORT,8148.118,74073.8,0.11,1773632106078,binance,,,,,,,LIMIT,73780.1,FILLED
BTC,SHORT,8105.84,74365.5,0.109,1773632295947,bybit,,,,,,,,,
BTC,SHORT,8071.83,73985.6,10.91,1773632309134,okx,,,,,,,,,
BTC,SHORT,8009.15,74158.8,0.108,1773632112452,bybit,,,,,,,,,
BTC,SHORT,8000.42,73757.0,0.10847,1773632111227,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7823.41,73764.0,0.10606,1773632111227,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7712.02,74154.0,0.104,1773632112944,bybit,,,,,,,,,
BTC,SHORT,7600.86,73759.0,0.10305,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7542.9,73950.0,0.102,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7526.47,73963.0,0.10176,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7509.41,74350.6,0.101,1773632294444,bybit,,,,,,,,,
BTC,SHORT,7504.62,73959.0,0.10147,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7499.86,73883.0,0.10151,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7472.28,73961.0,0.10103,1773632287225,hyperliquid,hyperliquid,,,,,,,,
,short,,74000.0,,2026-03-16T03:38:31.241000,hyperliquid,,BTC,0.10071,7452.54,0x47d3fd7f...,-589.05,,,
BTC,SHORT,7452.54,74000.0,0.10071,1773632311241,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7432.78,74327.8,0.1,1773632284944,bybit,,,,,,,,,
BTC,SHORT,7428.7,74287.0,0.1,1773632273943,bybit,,,,,,,,,
BTC,SHORT,7424.99,74249.9,0.1,1773632241943,bybit,,,,,,,,,
BTC,SHORT,7420.5,74205.0,0.1,1773632114443,bybit,,,,,,,,,
,short,,73977.0,,2026-03-16T03:38:07.225000,hyperliquid,,BTC,0.10023,7414.71,0xe94b1f61...,-589.05,,,
BTC,SHORT,7414.71,73977.0,0.10023,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7396.3,73963.0,0.1,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7394.26,73950.0,0.09999,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7326.91,73942.0,0.09909,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6983.11,74288.4,0.094,1773632274444,bybit,,,,,,,,,
BTC,SHORT,6977.75,73823.0,0.09452,1773632114885,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6975.57,74208.2,0.094,1773632113943,bybit,,,,,,,,,
BTC,SHORT,6926.63,73766.0,0.0939,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6802.85,73944.0,0.092,1773632275236,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6757.12,74254.1,0.091,1773632241443,bybit,,,,,,,,,
BTC,SHORT,6747.94,73950.0,0.09125,1773632287225,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6672.57,74139.7,0.09,1773632106445,bybit,,,,,,,,,
BTC,SHORT,6671.0,74122.2,0.09,1773632105944,bybit,,,,,,,,,
BTC,SHORT,6646.56,73974.0,0.08985,1773632287225,hyperliquid,hyperliquid,,,,,,,,
,short,,73969.0,,2026-03-16T03:38:20.641000,hyperliquid,,BTC,0.08802,6510.75,0x698ca673...,-509.55,,,
BTC,SHORT,6510.75,73969.0,0.08802,1773632300641,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6492.88,73766.0,0.08802,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6470.59,73882.0,0.08758,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6460.64,73760.0,0.08759,1773632108079,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6417.39,73882.0,0.08686,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6359.11,73883.0,0.08607,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6359.02,73882.0,0.08607,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6313.06,74271.3,0.085,1773632242444,bybit,,,,,,,,,
BTC,SHORT,6287.3,73760.0,0.08524,1773632117997,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6201.74,73883.0,0.08394,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5940.34,74254.3,0.08,1773632241944,bybit,,,,,,,,,
BTC,SHORT,5886.26,73883.0,0.07967,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5886.26,73883.0,0.07967,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5886.26,73883.0,0.07967,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5886.18,73882.0,0.07967,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5886.18,73882.0,0.07967,1773632242694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5787.77,74202.2,0.078,1773632113443,bybit,,,,,,,,,
BTC,SHORT,5723.64,73882.0,0.07747,1773632242694,hyperliquid,hyperliquid,,,,,,,,
,short,,74000.0,,2026-03-16T03:38:31.241000,hyperliquid,,BTC,0.07506,5554.44,0x317b157e...,-111.01,,,
BTC,SHORT,5554.44,74000.0,0.07506,1773632311241,hyperliquid,hyperliquid,,,,,,,,
