symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,73421.0,,2026-03-16T12:11:22.533498+00:00,,,,hyperliquid,BTC,0.00277,203.37617,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73623.0,,2026-03-16T12:05:22.475910+00:00,,,,hyperliquid,BTC,0.00276,203.19948,0x4d969e59b312970cc07af266938a4433ccae0b4c,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73623.0,,2026-03-16T12:05:22.506320+00:00,,,,hyperliquid,BTC,0.00276,203.19948,0x4d969e59b312970cc07af266938a4433ccae0b4c,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73614.0,,2026-03-16T12:06:22.392123+00:00,,,,hyperliquid,BTC,0.00276,203.17463999999998,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73614.0,,2026-03-16T12:06:22.398394+00:00,,,,hyperliquid,BTC,0.00276,203.17463999999998,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73553.0,,2026-03-16T12:14:52.458153+00:00,,,,hyperliquid,BTC,0.00276,203.00628,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73553.0,,2026-03-16T12:14:52.465108+00:00,,,,hyperliquid,BTC,0.00276,203.00628,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73551.0,,2026-03-16T12:14:22.478624+00:00,,,,hyperliquid,BTC,0.00276,203.00075999999999,0x1a0629baea82122dea0178cc1a24297e552d0585,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73551.0,,2026-03-16T12:14:22.638511+00:00,,,,hyperliquid,BTC,0.00276,203.00075999999999,0x1a0629baea82122dea0178cc1a24297e552d0585,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73549.0,,2026-03-16T12:13:52.383876+00:00,,,,hyperliquid,BTC,0.00276,202.99524,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73549.0,,2026-03-16T12:13:52.612242+00:00,,,,hyperliquid,BTC,0.00276,202.99524,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73547.0,,2026-03-16T12:09:52.443186+00:00,,,,hyperliquid,BTC,0.00276,202.98971999999998,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73547.0,,2026-03-16T12:09:52.463973+00:00,,,,hyperliquid,BTC,0.00276,202.98971999999998,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73533.0,,2026-03-16T12:10:22.327064+00:00,,,,hyperliquid,BTC,0.00276,202.95108,0xd3943e40080322c21c65d94966d4212331302c92,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73533.0,,2026-03-16T12:10:22.336798+00:00,,,,hyperliquid,BTC,0.00276,202.95108,0xd3943e40080322c21c65d94966d4212331302c92,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73526.0,,2026-03-16T12:10:52.403954+00:00,,,,hyperliquid,BTC,0.00276,202.93176,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73526.0,,2026-03-16T12:10:52.423635+00:00,,,,hyperliquid,BTC,0.00276,202.93176,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73499.0,,2026-03-16T12:07:52.299024+00:00,,,,hyperliquid,BTC,0.00276,202.85724,0x13558be785661958932ceac35ba20de187275a42,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73499.0,,2026-03-16T12:07:52.299638+00:00,,,,hyperliquid,BTC,0.00276,202.85724,0x13558be785661958932ceac35ba20de187275a42,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73497.0,,2026-03-16T12:09:22.359987+00:00,,,,hyperliquid,BTC,0.00276,202.85172,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73497.0,,2026-03-16T12:09:22.388666+00:00,,,,hyperliquid,BTC,0.00276,202.85172,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73489.0,,2026-03-16T12:08:22.450844+00:00,,,,hyperliquid,BTC,0.00276,202.82963999999998,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73489.0,,2026-03-16T12:08:22.454653+00:00,,,,hyperliquid,BTC,0.00276,202.82963999999998,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73484.0,,2026-03-16T12:12:52.498655+00:00,,,,hyperliquid,BTC,0.00276,202.81583999999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73484.0,,2026-03-16T12:12:52.498794+00:00,,,,hyperliquid,BTC,0.00276,202.81583999999998,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73467.0,,2026-03-16T12:07:22.306498+00:00,,,,hyperliquid,BTC,0.00276,202.76891999999998,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73467.0,,2026-03-16T12:07:22.313275+00:00,,,,hyperliquid,BTC,0.00276,202.76891999999998,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73452.0,,2026-03-16T12:11:52.470601+00:00,,,,hyperliquid,BTC,0.00276,202.72752,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73452.0,,2026-03-16T12:11:53.485460+00:00,,,,hyperliquid,BTC,0.00276,202.72752,0xb3a38662575bdf1541013ce987934dba919851ea,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73445.0,,2026-03-16T12:12:22.458517+00:00,,,,hyperliquid,BTC,0.00276,202.70819999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73445.0,,2026-03-16T12:12:22.462351+00:00,,,,hyperliquid,BTC,0.00276,202.70819999999998,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73607.0,,2026-03-16T12:05:53.822957+00:00,,,,hyperliquid,BTC,0.00259,190.64212999999998,0x31ca8395cf837de08b24da3f660e77761dfb974b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,short,,73607.0,,2026-03-16T12:05:53.912376+00:00,,,,hyperliquid,BTC,0.00259,190.64212999999998,0x31ca8395cf837de08b24da3f660e77761dfb974b,0x44a40187b36d2797cf4b5ee9fb98c581abfd65d7
,long,,73467.0,,2026-03-16T12:11:15.426395+00:00,,,,hyperliquid,BTC,0.00191,140.32197,0xa262f79bf430edeb62d393bdc0b499f260000000,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73467.0,,2026-03-16T12:11:15.429178+00:00,,,,hyperliquid,BTC,0.00191,140.32197,0xa262f79bf430edeb62d393bdc0b499f260000000,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,short,,73437.0,,2026-03-16T12:11:19.923241+00:00,,,,hyperliquid,BTC,0.0015,110.1555,0xed7c45acfd7d2d3b21f3039d86e1da540596d23a,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73437.0,,2026-03-16T12:11:19.927986+00:00,,,,hyperliquid,BTC,0.0015,110.1555,0xed7c45acfd7d2d3b21f3039d86e1da540596d23a,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73435.0,,2026-03-16T12:11:19.924391+00:00,,,,hyperliquid,BTC,0.00118,86.6533,0xb44a3c6e12e1a6933aed67ea61c520151ce01756,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73435.0,,2026-03-16T12:11:19.929105+00:00,,,,hyperliquid,BTC,0.00118,86.6533,0xb44a3c6e12e1a6933aed67ea61c520151ce01756,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,long,,73615.0,,2026-03-16T12:06:15.364589+00:00,,,,hyperliquid,BTC,0.00067,49.322050000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x56cf6a15408d6e928122427e8d2b55206a95ea80
,long,,73615.0,,2026-03-16T12:06:15.391346+00:00,,,,hyperliquid,BTC,0.00067,49.322050000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x56cf6a15408d6e928122427e8d2b55206a95ea80
,long,,73614.0,,2026-03-16T12:05:16.108677+00:00,,,,hyperliquid,BTC,0.00067,49.321380000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x177019594ba3913d416ab1a8f3e5527d4c2b2837
,long,,73614.0,,2026-03-16T12:05:18.298620+00:00,,,,hyperliquid,BTC,0.00067,49.321380000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x177019594ba3913d416ab1a8f3e5527d4c2b2837
,long,,73559.0,,2026-03-16T12:14:15.683557+00:00,,,,hyperliquid,BTC,0.00067,49.284530000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d
,long,,73559.0,,2026-03-16T12:14:17.865340+00:00,,,,hyperliquid,BTC,0.00067,49.284530000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d
,long,,73534.0,,2026-03-16T12:10:15.750430+00:00,,,,hyperliquid,BTC,0.00067,49.26778,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xa1d22621c9b077ce4ac468908114a82b2de4a8db
,long,,73534.0,,2026-03-16T12:10:16.318759+00:00,,,,hyperliquid,BTC,0.00067,49.26778,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xa1d22621c9b077ce4ac468908114a82b2de4a8db
,long,,73498.0,,2026-03-16T12:09:16.817535+00:00,,,,hyperliquid,BTC,0.00067,49.24366,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xf40e00db3c911dc7c3c77221bd1a6a3ecea607d9
,long,,73498.0,,2026-03-16T12:09:17.850351+00:00,,,,hyperliquid,BTC,0.00067,49.24366,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xf40e00db3c911dc7c3c77221bd1a6a3ecea607d9
,long,,73489.0,,2026-03-16T12:12:45.344692+00:00,,,,hyperliquid,BTC,0.00067,49.23763,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb668858ff53322d5511651a2cd92391eb5d60ee3
,long,,73489.0,,2026-03-16T12:12:45.357929+00:00,,,,hyperliquid,BTC,0.00067,49.23763,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb668858ff53322d5511651a2cd92391eb5d60ee3
,long,,73488.0,,2026-03-16T12:07:15.666202+00:00,,,,hyperliquid,BTC,0.00067,49.23696,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f
,long,,73488.0,,2026-03-16T12:07:16.949607+00:00,,,,hyperliquid,BTC,0.00067,49.23696,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f
,long,,73477.0,,2026-03-16T12:08:45.401850+00:00,,,,hyperliquid,BTC,0.00067,49.22959,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xc2c006c07c0d3562ad587a7ee44af2b8d074500d
,long,,73477.0,,2026-03-16T12:08:45.441891+00:00,,,,hyperliquid,BTC,0.00067,49.22959,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xc2c006c07c0d3562ad587a7ee44af2b8d074500d
