symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
,long,,71809.0,,2026-03-15T20:39:57.147080+00:00,hyperliquid,,,,,BTC,0.00024,17.23416,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xa6a1140c06c35619038823f58a54f25eb33c29eb
,long,,71781.0,,2026-03-15T20:40:56.702189+00:00,hyperliquid,,,,,BTC,0.00024,17.22744,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x4f965bea84add66023e7ef0458111a1a80e50bb7
,long,,71781.0,,2026-03-15T20:40:58.420517+00:00,hyperliquid,,,,,BTC,0.00024,17.22744,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x4f965bea84add66023e7ef0458111a1a80e50bb7
,long,,71743.0,,2026-03-15T20:37:56.300649+00:00,hyperliquid,,,,,BTC,0.00024,17.218320000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71743.0,,2026-03-15T20:37:56.852028+00:00,hyperliquid,,,,,BTC,0.00024,17.218320000000002,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71742.0,,2026-03-15T20:41:27.511530+00:00,hyperliquid,,,,,BTC,0.00024,17.21808,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71742.0,,2026-03-15T20:41:27.786762+00:00,hyperliquid,,,,,BTC,0.00024,17.21808,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71723.0,,2026-03-15T20:38:56.744965+00:00,hyperliquid,,,,,BTC,0.00024,17.21352,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,long,,71723.0,,2026-03-15T20:38:57.313167+00:00,hyperliquid,,,,,BTC,0.00024,17.21352,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5
,long,,71660.0,,2026-03-15T20:37:28.193803+00:00,hyperliquid,,,,,BTC,0.00024,17.1984,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3
,long,,71660.0,,2026-03-15T20:37:28.813605+00:00,hyperliquid,,,,,BTC,0.00024,17.1984,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3
,long,,71650.0,,2026-03-15T20:36:58.214698+00:00,hyperliquid,,,,,BTC,0.00024,17.196,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1cc2c6c3f3e3ecae0b4217bbcf5e16b69465e7c1
,long,,71650.0,,2026-03-15T20:36:58.755980+00:00,hyperliquid,,,,,BTC,0.00024,17.196,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x1cc2c6c3f3e3ecae0b4217bbcf5e16b69465e7c1
,long,,71631.0,,2026-03-15T20:35:56.642464+00:00,hyperliquid,,,,,BTC,0.00024,17.19144,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
,long,,71631.0,,2026-03-15T20:35:59.097690+00:00,hyperliquid,,,,,BTC,0.00024,17.19144,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e
,long,,71629.0,,2026-03-15T20:33:27.139441+00:00,hyperliquid,,,,,BTC,0.00024,17.19096,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xb1edfeccf03f35d2268f5dc4013508a6eb52c702
,long,,71629.0,,2026-03-15T20:33:27.238140+00:00,hyperliquid,,,,,BTC,0.00024,17.19096,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xb1edfeccf03f35d2268f5dc4013508a6eb52c702
,long,,71622.0,,2026-03-15T20:35:27.011380+00:00,hyperliquid,,,,,BTC,0.00024,17.18928,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xaf2ac71f62f341e5823d6985492409e92c940447
,long,,71622.0,,2026-03-15T20:35:27.360318+00:00,hyperliquid,,,,,BTC,0.00024,17.18928,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0xaf2ac71f62f341e5823d6985492409e92c940447
,long,,71592.0,,2026-03-15T20:33:58.361536+00:00,hyperliquid,,,,,BTC,0.00024,17.18208,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad
,long,,71592.0,,2026-03-15T20:33:58.695536+00:00,hyperliquid,,,,,BTC,0.00024,17.18208,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad
,long,,71592.0,,2026-03-15T20:34:56.527241+00:00,hyperliquid,,,,,BTC,0.00024,17.18208,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5506eb67021211c31ac30f804c6ea238f338ee05
,long,,71592.0,,2026-03-15T20:34:56.545349+00:00,hyperliquid,,,,,BTC,0.00024,17.18208,0xa67b7eb1c336804b48317287ada7adb112fc9a76,0x5506eb67021211c31ac30f804c6ea238f338ee05
,short,,71818.0,,2026-03-15T20:42:10.491481+00:00,hyperliquid,,,,,BTC,0.00023,16.51814,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71818.0,,2026-03-15T20:42:10.982818+00:00,hyperliquid,,,,,BTC,0.00023,16.51814,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71803.0,,2026-03-15T20:39:42.458444+00:00,hyperliquid,,,,,BTC,0.00022,15.796660000000001,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71803.0,,2026-03-15T20:39:42.493760+00:00,hyperliquid,,,,,BTC,0.00022,15.796660000000001,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71587.0,,2026-03-15T20:34:40.615336+00:00,hyperliquid,,,,,BTC,0.00022,15.74914,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,short,,71587.0,,2026-03-15T20:34:42.672436+00:00,hyperliquid,,,,,BTC,0.00022,15.74914,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd
,long,,71840.0,,2026-03-15T20:40:27.520346+00:00,hyperliquid,,,,,BTC,0.00021,15.086400000000001,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
,long,,71840.0,,2026-03-15T20:40:27.865754+00:00,hyperliquid,,,,,BTC,0.00021,15.086400000000001,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277
