symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,73435.0,,2026-03-16T12:11:19.929105+00:00,hyperliquid,,BTC,0.00118,86.6533,0xb44a3c6e12e1a6933aed67ea61c520151ce01756,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73667.0,,2026-03-16T12:20:09.457505+00:00,hyperliquid,,BTC,0.00112,82.50703999999999,0x0bfd7d7721f4c116e853c18ea7998e1cc2350a7d,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73667.0,,2026-03-16T12:20:09.473658+00:00,hyperliquid,,BTC,0.00112,82.50703999999999,0x0bfd7d7721f4c116e853c18ea7998e1cc2350a7d,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73661.0,,2026-03-16T12:21:09.581578+00:00,hyperliquid,,BTC,0.00112,82.50031999999999,0xfc1d41ff4a7c1e2aa4d493428d7437b34918e53e,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73661.0,,2026-03-16T12:21:09.583766+00:00,hyperliquid,,BTC,0.00112,82.50031999999999,0xfc1d41ff4a7c1e2aa4d493428d7437b34918e53e,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73649.0,,2026-03-16T12:19:09.408495+00:00,hyperliquid,,BTC,0.00112,82.48688,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73649.0,,2026-03-16T12:19:09.415669+00:00,hyperliquid,,BTC,0.00112,82.48688,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73649.0,,2026-03-16T12:19:39.409050+00:00,hyperliquid,,BTC,0.00112,82.48688,0x3ea46713c48c49ffd929e2a64dce72fd10c0a274,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73649.0,,2026-03-16T12:19:39.411670+00:00,hyperliquid,,BTC,0.00112,82.48688,0x3ea46713c48c49ffd929e2a64dce72fd10c0a274,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73634.0,,2026-03-16T12:18:09.439950+00:00,hyperliquid,,BTC,0.00112,82.47008,0xd3943e40080322c21c65d94966d4212331302c92,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73634.0,,2026-03-16T12:18:09.457623+00:00,hyperliquid,,BTC,0.00112,82.47008,0xd3943e40080322c21c65d94966d4212331302c92,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73622.0,,2026-03-16T12:18:39.398337+00:00,hyperliquid,,BTC,0.00112,82.45664,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73622.0,,2026-03-16T12:18:39.405798+00:00,hyperliquid,,BTC,0.00112,82.45664,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73455.0,,2026-03-16T12:17:39.648687+00:00,hyperliquid,,BTC,0.00111,81.53505000000001,0x2991024cae348bf5a963c5a1b13830818339d577,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
,short,,73455.0,,2026-03-16T12:17:39.730898+00:00,hyperliquid,,BTC,0.00111,81.53505000000001,0x2991024cae348bf5a963c5a1b13830818339d577,0xb6df97014a9cd6e40703b6db99dd736c3170e30a
BTC,SHORT,74.04,74040.3,0.001,1773663611944,bybit,,,,,,
