symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,long,,72609.0,,2026-03-16T00:35:30.695866+00:00,hyperliquid,BTC,0.00529,384.10161000000005,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xe92cdf7b804a836a71219cda2b00274d57ac030f,,,
,long,,72507.0,,2026-03-16T00:43:26.577716+00:00,hyperliquid,BTC,0.00518,375.58626,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72507.0,,2026-03-16T00:43:27.717587+00:00,hyperliquid,BTC,0.00518,375.58626,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72521.0,,2026-03-16T00:39:54.455546+00:00,hyperliquid,BTC,0.00513,372.03273,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,,,
,long,,72521.0,,2026-03-16T00:39:56.696517+00:00,hyperliquid,BTC,0.00513,372.03273,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,,,
,long,,72587.0,,2026-03-16T00:38:24.735657+00:00,hyperliquid,BTC,0.00504,365.83848,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72587.0,,2026-03-16T00:38:24.830913+00:00,hyperliquid,BTC,0.00504,365.83848,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72618.0,,2026-03-16T00:35:54.679953+00:00,hyperliquid,BTC,0.00503,365.26854,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72618.0,,2026-03-16T00:35:54.686099+00:00,hyperliquid,BTC,0.00503,365.26854,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72505.0,,2026-03-16T00:40:00.375252+00:00,hyperliquid,BTC,0.00479,347.29895,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,,,
,long,,72505.0,,2026-03-16T00:40:00.390108+00:00,hyperliquid,BTC,0.00479,347.29895,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90,,,
,long,,72580.0,,2026-03-16T00:38:55.952881+00:00,hyperliquid,BTC,0.00473,343.3034,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x162cc7c861ebd0c06b3d72319201150482518185,,,
,long,,72580.0,,2026-03-16T00:38:55.963249+00:00,hyperliquid,BTC,0.00473,343.3034,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x162cc7c861ebd0c06b3d72319201150482518185,,,
,long,,72559.0,,2026-03-16T00:38:00.441911+00:00,hyperliquid,BTC,0.00471,341.75289,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,
,long,,72559.0,,2026-03-16T00:38:00.455330+00:00,hyperliquid,BTC,0.00471,341.75289,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,
,long,,72544.0,,2026-03-16T00:37:30.401162+00:00,hyperliquid,BTC,0.00458,332.25151999999997,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,,,
,long,,72544.0,,2026-03-16T00:37:30.418332+00:00,hyperliquid,BTC,0.00458,332.25151999999997,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,,,
,long,,72528.0,,2026-03-16T00:43:00.901821+00:00,hyperliquid,BTC,0.00458,332.17824,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,
,long,,72528.0,,2026-03-16T00:43:03.940499+00:00,hyperliquid,BTC,0.00458,332.17824,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,
,long,,72421.0,,2026-03-16T00:40:30.476353+00:00,hyperliquid,BTC,0.00458,331.68818,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72421.0,,2026-03-16T00:40:30.494920+00:00,hyperliquid,BTC,0.00458,331.68818,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72458.0,,2026-03-16T00:42:00.331437+00:00,hyperliquid,BTC,0.00437,316.64146,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72458.0,,2026-03-16T00:42:00.338614+00:00,hyperliquid,BTC,0.00437,316.64146,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72547.0,,2026-03-16T00:39:30.392204+00:00,hyperliquid,BTC,0.00429,311.22663000000006,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x162cc7c861ebd0c06b3d72319201150482518185,,,
,long,,72547.0,,2026-03-16T00:39:30.489143+00:00,hyperliquid,BTC,0.00429,311.22663000000006,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x162cc7c861ebd0c06b3d72319201150482518185,,,
,long,,72566.0,,2026-03-16T00:34:54.417095+00:00,hyperliquid,BTC,0.00425,308.4055,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16,,,
,long,,72566.0,,2026-03-16T00:34:56.547254+00:00,hyperliquid,BTC,0.00425,308.4055,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16,,,
,long,,72601.0,,2026-03-16T00:35:24.798942+00:00,hyperliquid,BTC,0.00424,307.82824,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x6802b4267f7f2bf7003dcf993c51542245b38329,,,
