symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
BTC,SHORT,147.7176,73858.8,0.002,1773662581411,binance,,,,,,,LIMIT,73566.6,FILLED
BTC,LONG,146.98,73488.3,0.002,1773662642510,bybit,,,,,,,,,
,long,,73511.0,,2026-03-16T11:54:54.532112+00:00,hyperliquid,,BTC,0.00175,128.64425,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x31dea2516beee92135b96f464eeec3cf292a13f2,,,
,long,,73511.0,,2026-03-16T11:54:56.769224+00:00,hyperliquid,,BTC,0.00175,128.64425,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x31dea2516beee92135b96f464eeec3cf292a13f2,,,
,short,,73584.0,,2026-03-16T12:03:49.402334+00:00,hyperliquid,,BTC,0.00173,127.30032,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73584.0,,2026-03-16T12:03:49.430944+00:00,hyperliquid,,BTC,0.00173,127.30032,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6,,,
,short,,73560.0,,2026-03-16T11:56:47.272227+00:00,hyperliquid,,BTC,0.00111,81.6516,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73560.0,,2026-03-16T11:56:47.276290+00:00,hyperliquid,,BTC,0.00111,81.6516,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73560.0,,2026-03-16T11:57:47.381543+00:00,hyperliquid,,BTC,0.00111,81.6516,0xa62b923a112d50d03e1e096bbd53422490dac104,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73560.0,,2026-03-16T11:57:47.882490+00:00,hyperliquid,,BTC,0.00111,81.6516,0xa62b923a112d50d03e1e096bbd53422490dac104,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73530.0,,2026-03-16T11:56:17.386714+00:00,hyperliquid,,BTC,0.00111,81.6183,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73530.0,,2026-03-16T11:56:17.391667+00:00,hyperliquid,,BTC,0.00111,81.6183,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73524.0,,2026-03-16T12:00:17.265628+00:00,hyperliquid,,BTC,0.00111,81.61164000000001,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73524.0,,2026-03-16T12:00:19.129013+00:00,hyperliquid,,BTC,0.00111,81.61164000000001,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73517.0,,2026-03-16T11:59:47.320632+00:00,hyperliquid,,BTC,0.00111,81.60387,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
