exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,,short,,71989.0,,2026-03-15T21:58:14.536405+00:00,hyperliquid,BTC,0.00209,150.45701,0x56cf6a15408d6e928122427e8d2b55206a95ea80,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,71989.0,,2026-03-15T21:58:15.867581+00:00,hyperliquid,BTC,0.00209,150.45701,0x56cf6a15408d6e928122427e8d2b55206a95ea80,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72032.0,,2026-03-15T21:56:15.681044+00:00,hyperliquid,BTC,0.00192,138.30144,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72032.0,,2026-03-15T21:56:17.799292+00:00,hyperliquid,BTC,0.00192,138.30144,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0x9c2d175c8c5f1484e12f945da597f1f9554dbd80
,,short,,72066.0,,2026-03-15T22:02:15.506842+00:00,hyperliquid,BTC,0.00172,123.95352,0xabfae5ef417fec83a63dcdbff5a13f71d09045c5,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72066.0,,2026-03-15T22:02:17.011798+00:00,hyperliquid,BTC,0.00172,123.95352,0xabfae5ef417fec83a63dcdbff5a13f71d09045c5,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72048.0,,2026-03-15T21:59:45.343204+00:00,hyperliquid,BTC,0.00172,123.92255999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72048.0,,2026-03-15T21:59:45.350260+00:00,hyperliquid,BTC,0.00172,123.92255999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72022.0,,2026-03-15T21:55:45.336564+00:00,hyperliquid,BTC,0.00172,123.87783999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72022.0,,2026-03-15T21:55:45.336583+00:00,hyperliquid,BTC,0.00172,123.87783999999999,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72022.0,,2026-03-15T21:58:45.409828+00:00,hyperliquid,BTC,0.00172,123.87783999999999,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72022.0,,2026-03-15T21:58:45.489047+00:00,hyperliquid,BTC,0.00172,123.87783999999999,0xe92cdf7b804a836a71219cda2b00274d57ac030f,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72021.0,,2026-03-15T21:57:15.274011+00:00,hyperliquid,BTC,0.00172,123.87612,0xe29d84a6f37858d7f8017be454ee35726511e525,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72021.0,,2026-03-15T21:57:17.323816+00:00,hyperliquid,BTC,0.00172,123.87612,0xe29d84a6f37858d7f8017be454ee35726511e525,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72010.0,,2026-03-15T21:54:45.438760+00:00,hyperliquid,BTC,0.00172,123.85719999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72010.0,,2026-03-15T21:54:45.520996+00:00,hyperliquid,BTC,0.00172,123.85719999999999,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,71984.0,,2026-03-15T22:01:16.459106+00:00,hyperliquid,BTC,0.00172,123.81248,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,71984.0,,2026-03-15T22:01:17.542906+00:00,hyperliquid,BTC,0.00172,123.81248,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72054.0,,2026-03-15T21:59:15.333157+00:00,hyperliquid,BTC,0.00171,123.21234,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72054.0,,2026-03-15T21:59:15.339785+00:00,hyperliquid,BTC,0.00171,123.21234,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
,,short,,72030.0,,2026-03-15T21:56:15.683121+00:00,hyperliquid,BTC,0.00171,123.17129999999999,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xd2ce67ee07131a2b25fc22aea301cc70f331373e
