symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,exchange,order_type,avg_price,order_status
BTC,SHORT,14.88,74378.0,0.0002,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,14.88,74377.0,0.0002,1773668127703,hyperliquid,,,,,,hyperliquid,,,
,short,,74379.0,,2026-03-16T13:35:27.703000,hyperliquid,BTC,0.00017,12.64,0xf433181c...,-0.43,,,,
BTC,SHORT,12.64,74379.0,0.00017,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,12.64,74378.0,0.00017,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,11.16,74379.0,0.00015,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10.41,74378.0,0.00014,1773668127703,hyperliquid,,,,,,hyperliquid,,,
