symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71927.0,,2026-03-15T22:25:51.685578+00:00,,,,hyperliquid,,BTC,0.00249,179.09823,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71912.0,,2026-03-15T22:23:19.270608+00:00,,,,hyperliquid,,BTC,0.00249,179.06088,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71912.0,,2026-03-15T22:23:20.387759+00:00,,,,hyperliquid,,BTC,0.00249,179.06088,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71870.0,,2026-03-15T22:22:20.117763+00:00,,,,hyperliquid,,BTC,0.00249,178.9563,0x1be5a1135a64783e0494180c0a229b02f3f57973,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71870.0,,2026-03-15T22:22:21.101378+00:00,,,,hyperliquid,,BTC,0.00249,178.9563,0x1be5a1135a64783e0494180c0a229b02f3f57973,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71867.0,,2026-03-15T22:24:49.390447+00:00,,,,hyperliquid,,BTC,0.00249,178.94883000000002,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71867.0,,2026-03-15T22:24:49.446128+00:00,,,,hyperliquid,,BTC,0.00249,178.94883000000002,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71808.0,,2026-03-15T22:20:50.044794+00:00,,,,hyperliquid,,BTC,0.00249,178.80192,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71808.0,,2026-03-15T22:20:50.049500+00:00,,,,hyperliquid,,BTC,0.00249,178.80192,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71751.0,,2026-03-15T22:19:49.621662+00:00,,,,hyperliquid,,BTC,0.00249,178.65999,0x588432f54227364caf999a6df88dbf86a90f4772,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71751.0,,2026-03-15T22:19:49.973665+00:00,,,,hyperliquid,,BTC,0.00249,178.65999,0x588432f54227364caf999a6df88dbf86a90f4772,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71746.0,,2026-03-15T22:17:19.345453+00:00,,,,hyperliquid,,BTC,0.00249,178.64754,0x67cd5c1c4548c7ec1a20fadefca19ad42e6230da,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71746.0,,2026-03-15T22:17:21.838023+00:00,,,,hyperliquid,,BTC,0.00249,178.64754,0x67cd5c1c4548c7ec1a20fadefca19ad42e6230da,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71908.0,,2026-03-15T22:26:19.476273+00:00,,,,hyperliquid,,BTC,0.00248,178.33184,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71908.0,,2026-03-15T22:26:21.681122+00:00,,,,hyperliquid,,BTC,0.00248,178.33184,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71898.0,,2026-03-15T22:22:50.215529+00:00,,,,hyperliquid,,BTC,0.00248,178.30704,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71898.0,,2026-03-15T22:22:51.231851+00:00,,,,hyperliquid,,BTC,0.00248,178.30704,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71884.0,,2026-03-15T22:25:19.358732+00:00,,,,hyperliquid,,BTC,0.00248,178.27232,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71884.0,,2026-03-15T22:25:19.435659+00:00,,,,hyperliquid,,BTC,0.00248,178.27232,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71883.0,,2026-03-15T22:21:19.440505+00:00,,,,hyperliquid,,BTC,0.00248,178.26984,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71883.0,,2026-03-15T22:21:22.315423+00:00,,,,hyperliquid,,BTC,0.00248,178.26984,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71878.0,,2026-03-15T22:21:49.408351+00:00,,,,hyperliquid,,BTC,0.00248,178.25744,0x5c0669da544572af3c30b815fd58ab1a96895ca3,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71878.0,,2026-03-15T22:21:51.779540+00:00,,,,hyperliquid,,BTC,0.00248,178.25744,0x5c0669da544572af3c30b815fd58ab1a96895ca3,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71824.0,,2026-03-15T22:24:19.392380+00:00,,,,hyperliquid,,BTC,0.00248,178.12352,0x7fc87ff3dc4f32572064b0e9509beccf92c14938,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71824.0,,2026-03-15T22:24:19.453566+00:00,,,,hyperliquid,,BTC,0.00248,178.12352,0x7fc87ff3dc4f32572064b0e9509beccf92c14938,0xe8e715d222e9684bca78723d12b84f16a3e354c3
