symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange,order_type,avg_price,order_status
,long,,73323.0,,2026-03-16T10:09:27.433379+00:00,hyperliquid,BTC,0.0119,872.5437000000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xbc927e87d072dfac3693846a83fa6922cc6c5f2a,,,,
,long,,73323.0,,2026-03-16T10:09:27.437971+00:00,hyperliquid,BTC,0.0119,872.5437000000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xbc927e87d072dfac3693846a83fa6922cc6c5f2a,,,,
,long,,73329.0,,2026-03-16T10:11:27.531743+00:00,hyperliquid,BTC,0.01144,838.88376,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xa3652867632777bd42f12561d28bfd2064a11721,,,,
,long,,73329.0,,2026-03-16T10:11:27.615085+00:00,hyperliquid,BTC,0.01144,838.88376,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xa3652867632777bd42f12561d28bfd2064a11721,,,,
,long,,73406.0,,2026-03-16T10:04:29.206793+00:00,hyperliquid,BTC,0.01124,825.08344,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,,
,long,,73406.0,,2026-03-16T10:04:29.226520+00:00,hyperliquid,BTC,0.01124,825.08344,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,,
,long,,73381.0,,2026-03-16T10:04:58.450784+00:00,hyperliquid,BTC,0.01,733.8100000000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,,,,
,long,,73381.0,,2026-03-16T10:04:58.575157+00:00,hyperliquid,BTC,0.01,733.8100000000001,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,,,,
,long,,73320.0,,2026-03-16T10:09:27.430162+00:00,hyperliquid,BTC,0.00984,721.4688,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x8f21eb99c7b5d3898bdd152ae05f6327d992ef7a,,,,
,long,,73320.0,,2026-03-16T10:09:27.435744+00:00,hyperliquid,BTC,0.00984,721.4688,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x8f21eb99c7b5d3898bdd152ae05f6327d992ef7a,,,,
