symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
BTC,SHORT,619589.61,73445.9,8.436,1773631858944,bybit,,,,,,,,,
BTC,SHORT,589476.8,73684.6,8.0,1773631991444,bybit,,,,,,,,,
BTC,SHORT,403700.55,73400.1,5.5,1773631851943,bybit,,,,,,,,,
BTC,SHORT,346560.22,73409.0,4.72095,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,227260.59,73262.6,3.102,1773631836944,bybit,,,,,,,,,
BTC,SHORT,179339.8,73681.1,2.434,1773631991943,bybit,,,,,,,,,
BTC,SHORT,150740.39,73531.9,2.05,1773631863944,bybit,,,,,,,,,
BTC,SHORT,147029.6,73514.8,2.0,1773631859944,bybit,,,,,,,,,
BTC,SHORT,143343.55,73409.0,1.95267,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,135796.95,73642.6,1.844,1773631972943,bybit,,,,,,,,,
BTC,SHORT,113947.46,73752.4,1.545,1773631995444,bybit,,,,,,,,,
BTC,SHORT,99987.15,73405.0,1.36213,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,89989.88,73406.0,1.22592,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,89988.42,73406.0,1.2259,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,89530.61,73405.0,1.21968,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,89403.07,73280.0,1.22002,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,84668.39,73267.9,115.56,1773631971709,okx,,,,,,,,,
BTC,SHORT,77763.79,73405.0,1.05938,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,73225.0,73225.0,1.0,1773631804546,bybit,,,,,,,,,
BTC,SHORT,73155.5,73155.5,100.0,1773631864248,okx,,,,,,,,,
BTC,SHORT,71681.22,73398.0,0.97661,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,64301.05,73250.0,0.87783,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,62493.85,73403.0,0.85138,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,59429.19,73250.0,0.81132,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,54824.66,73400.0,0.74693,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,51271.5,73245.0,0.7,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,51271.5,73245.0,0.7,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,51271.5,73245.0,0.7,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,49777.12,73410.0,0.67807,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,48996.6194,73458.2,0.667,1773631864083,binance,,LIMIT,73157.5,FILLED,,,,,
BTC,SHORT,44709.16,73402.0,0.6091,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,44246.1,73743.5,0.6,1773631991944,bybit,,,,,,,,,
BTC,SHORT,43230.18,73271.5,0.59,1773631836944,bybit,,,,,,,,,
BTC,SHORT,43007.01,73390.8,0.586,1773631845443,bybit,,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.58383,42966.39,0xb92f63aa...,-491.58
BTC,SHORT,41920.21,73409.0,0.57105,1773631994446,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.56687,41718.23,0x0215985b...,-3235.13
BTC,SHORT,40343.27,73351.4,0.55,1773631844462,bybit,,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.53599,39445.65,0xf433181c...,-936.37
BTC,SHORT,37496.81,73408.0,0.5108,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,35778.83,73400.0,0.48745,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,35046.26,72846.1,48.11,1773631804130,okx,,,,,,,,,
BTC,SHORT,34995.8,73408.0,0.47673,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,33921.34,73250.0,0.46309,1773631880428,hyperliquid,hyperliquid,,,,,,,,
,short,,73595.0,,2026-03-16T03:34:02.687000,hyperliquid,,,,,BTC,0.45684,33621.14,0xaffa4daf...,-454.92
BTC,SHORT,30821.29,73405.0,0.41988,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,30007.23,73405.0,0.40879,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,29443.73,73793.8,0.399,1773632004943,bybit,,,,,,,,,
BTC,SHORT,28376.9058,73515.3,0.386,1773631882101,binance,,LIMIT,73197.0,FILLED,,,,,
BTC,SHORT,27906.49,73280.0,0.38082,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,27262.99,73406.0,0.3714,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,27075.06,73400.0,0.36887,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25635.75,73245.0,0.35,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25635.75,73245.0,0.35,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25635.75,73245.0,0.35,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25635.75,73245.0,0.35,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25635.75,73245.0,0.35,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,25451.027299999998,73345.9,0.347,1773631857603,binance,,LIMIT,73108.3,FILLED,,,,,
BTC,SHORT,25303.86,73419.0,0.34465,1773632005891,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24903.3,73245.0,0.34,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24732.73,73280.0,0.33751,1773631935842,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,24635.44,73250.0,0.33632,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22906.88,73356.0,0.31227,1773631990910,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,22051.98,73506.6,0.3,1773631860447,bybit,,,,,,,,,
BTC,SHORT,22040.309999999998,73467.7,0.3,1773631865189,binance,,LIMIT,73121.0,FILLED,,,,,
BTC,SHORT,21976.38,73401.4,29.94,1773631995795,okx,,,,,,,,,
BTC,SHORT,21897.86,73399.0,0.29834,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21813.83,73245.0,0.29782,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21784.12,73409.0,0.29675,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,21153.34,73200.0,0.28898,1773631929840,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.27409,20171.38,0xb92f63aa...,-230.78
BTC,SHORT,19795.7,73448.0,0.26952,1773632009980,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.26405,19432.5,0x635d792c...,-488.02
BTC,SHORT,19384.0,73402.0,0.26408,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,19260.74,73419.0,0.26234,1773632005891,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.23708,17447.67,0x635d792c...,-438.17
BTC,SHORT,16311.95,73464.0,0.22204,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16266.2,73602.7,0.221,1773631935444,bybit,,,,,,,,,
BTC,SHORT,15773.8,73366.5,0.215,1773631845443,bybit,,,,,,,,,
BTC,SHORT,15712.12,73250.0,0.2145,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15571.52,73409.0,0.21212,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15168.31,73245.0,0.20709,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,15005.78,73403.0,0.20443,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14820.17,73732.2,0.201,1773631992443,bybit,,,,,,,,,
BTC,SHORT,14762.84,73814.2,0.2,1773632008944,bybit,,,,,,,,,
BTC,SHORT,14683.67,73400.0,0.20005,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14624.0,73120.0,0.2,1773631857694,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13929.0,73310.5,0.19,1773631837943,bybit,,,,,,,,,
BTC,SHORT,13670.39,73402.0,0.18624,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,13632.29,73252.5,18.61,1773631841167,okx,,,,,,,,,
BTC,SHORT,13157.11,73405.0,0.17924,1773631996948,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12990.35,73280.0,0.17727,1773631935842,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.17603,12954.75,0x0215985b...,-1004.6
BTC,SHORT,12868.73,73535.6,0.175,1773631864443,bybit,,,,,,,,,
BTC,SHORT,12750.72,73703.6,0.173,1773631991943,bybit,,,,,,,,,
BTC,SHORT,12100.07,73245.0,0.1652,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11729.52,73250.0,0.16013,1773631880428,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11635.8,73644.3,0.158,1773631972943,bybit,,,,,,,,,
BTC,SHORT,11526.05,73419.0,0.15699,1773632005891,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11328.56,73400.0,0.15434,1773631994446,hyperliquid,hyperliquid,,,,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.15217,11198.8,0x635d792c...,-281.24
BTC,SHORT,11062.26,73748.4,0.15,1773631992443,bybit,,,,,,,,,
BTC,SHORT,10887.8864,73566.8,0.148,1773631974529,binance,,LIMIT,73251.3,FILLED,,,,,
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.146,10744.72,0xf433181c...,-255.06
,short,,73594.0,,2026-03-16T03:34:05.761000,hyperliquid,,,,,BTC,0.14267,10499.66,0x635d792c...,-263.68
BTC,SHORT,10488.68,73245.0,0.1432,1773631938994,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10308.3,73400.0,0.14044,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,10190.42,72945.0,13.97,1773631839131,okx,,,,,,,,,
BTC,SHORT,10068.14,73490.1,0.137,1773631859443,bybit,,,,,,,,,
BTC,SHORT,9874.58,73259.0,0.13479,1773631974707,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9385.34,73409.0,0.12785,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9374.04,73234.7,12.8,1773631837630,okx,,,,,,,,,
BTC,SHORT,9369.92,73409.0,0.12764,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9275.94,73618.6,0.126,1773631985443,bybit,,,,,,,,,
BTC,SHORT,8929.26,73795.5,0.121,1773632006944,bybit,,,,,,,,,
BTC,SHORT,8879.8,73405.0,0.12097,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8866.73,73278.8,0.121,1773631836446,bybit,,,,,,,,,
BTC,SHORT,8811.28,73409.0,0.12003,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8708.21,73798.4,0.118,1773632006944,bybit,,,,,,,,,
BTC,SHORT,8612.78,73419.0,0.11731,1773632005891,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8508.1592,73346.2,0.116,1773631855295,binance,,LIMIT,73088.1,FILLED,,,,,
BTC,SHORT,8500.538,73280.5,0.116,1773631845087,binance,,LIMIT,72989.3,FILLED,,,,,
BTC,SHORT,8207.59,73400.0,0.11182,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8195.43,73832.7,0.111,1773632016443,bybit,,,,,,,,,
BTC,SHORT,8110.24,73729.5,0.11,1773631991444,bybit,,,,,,,,,
BTC,SHORT,8099.69,73400.0,0.11035,1773631994446,hyperliquid,hyperliquid,,,,,,,,
